Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities,Predicted
United Kingdom,Junior Suite,1,October 2020,Solo traveler, The hotel was in a great location and my room was clean and had a great view. The measures taken to keep staff and guests safe were excellent. The staff were very friendly and helpful. The bar lady Laura was very welcoming and had a great knowledge regarding whiskies. Definitely happy to stay there again.,8.0,Great Hotel,1,staff,0
United Kingdom,Junior Suite,1,October 2020,Solo traveler, The hotel was in a great location and my room was clean and had a great view. The measures taken to keep staff and guests safe were excellent. The staff were very friendly and helpful. The bar lady Laura was very welcoming and had a great knowledge regarding whiskies. Definitely happy to stay there again.,8.0,Great Hotel,1,restaurant,0
United Kingdom,Standard Room,1,September 2020,Couple," Everything. Rooms were a good size, modern and tremendous value for money. (At the moment). Bar area was spacious but cozy at the same time. Staff couldn’t be faulted.",9.0,Great place to stay,1,comfort,0
United Kingdom,Standard Room,1,September 2020,Couple," Everything. Rooms were a good size, modern and tremendous value for money. (At the moment). Bar area was spacious but cozy at the same time. Staff couldn’t be faulted.",9.0,Great place to stay,1,price,0
United Kingdom,Standard Room,1,September 2020,Couple," Everything. Rooms were a good size, modern and tremendous value for money. (At the moment). Bar area was spacious but cozy at the same time. Staff couldn’t be faulted.",9.0,Great place to stay,1,restaurant,0
United Kingdom,Standard Room,1,September 2020,Couple," Everything. Rooms were a good size, modern and tremendous value for money. (At the moment). Bar area was spacious but cozy at the same time. Staff couldn’t be faulted.",9.0,Great place to stay,1,location,0
United Kingdom,Standard Room,1,September 2020,Couple," Everything. Rooms were a good size, modern and tremendous value for money. (At the moment). Bar area was spacious but cozy at the same time. Staff couldn’t be faulted.",9.0,Great place to stay,1,staff,0
United Kingdom,Standard Room,1,September 2020,Group," Spacious room, hotel centrally located and near all shops. Had an issue with first room  allocated to us, went back down to reception and spoke to Lee about our issues, took him all of 5 minutes to sort us a new room - Radisson are lucky to have him, genuine and very good at his job - would give him 10 out of 10 and employee of the month if I could. Really knows how to treat his guests.
Have stayed in a few Radisson Hotels and have never been disappointed. Would definitely recommend to my family and friends.",9.0,Friendly reception staff who could not do enough for you. Lee deserves a special mention.,1,location,0
United Kingdom,Standard Room,1,September 2020,Group," Spacious room, hotel centrally located and near all shops. Had an issue with first room  allocated to us, went back down to reception and spoke to Lee about our issues, took him all of 5 minutes to sort us a new room - Radisson are lucky to have him, genuine and very good at his job - would give him 10 out of 10 and employee of the month if I could. Really knows how to treat his guests.
Have stayed in a few Radisson Hotels and have never been disappointed. Would definitely recommend to my family and friends.",9.0,Friendly reception staff who could not do enough for you. Lee deserves a special mention.,1,restaurant,0
United Kingdom,Standard Room,1,September 2020,Group," Spacious room, hotel centrally located and near all shops. Had an issue with first room  allocated to us, went back down to reception and spoke to Lee about our issues, took him all of 5 minutes to sort us a new room - Radisson are lucky to have him, genuine and very good at his job - would give him 10 out of 10 and employee of the month if I could. Really knows how to treat his guests.
Have stayed in a few Radisson Hotels and have never been disappointed. Would definitely recommend to my family and friends.",9.0,Friendly reception staff who could not do enough for you. Lee deserves a special mention.,1,staff,0
United Kingdom,Standard Room,1,September 2020,Solo traveler," Located right next to central station in the centre of town the location is great. Modern and clean with good sized beds, selection of pillows large en suite with shower over bath. 
Staff were also excellent and Covid procedures gave comfort. 
Would have given full marks but for two things
1.  The air conditioning was loud and I had to switch it off. 
2. The TV is completely locked down so I couldn’t screen mirror my films from my iPad",9.0,Business trip,1,location,0
United Kingdom,Standard Room,1,September 2020,Solo traveler," Located right next to central station in the centre of town the location is great. Modern and clean with good sized beds, selection of pillows large en suite with shower over bath. 
Staff were also excellent and Covid procedures gave comfort. 
Would have given full marks but for two things
1.  The air conditioning was loud and I had to switch it off. 
2. The TV is completely locked down so I couldn’t screen mirror my films from my iPad",9.0,Business trip,1,comfort,0
United Kingdom,Standard Room,1,September 2020,Solo traveler," Located right next to central station in the centre of town the location is great. Modern and clean with good sized beds, selection of pillows large en suite with shower over bath. 
Staff were also excellent and Covid procedures gave comfort. 
Would have given full marks but for two things
1.  The air conditioning was loud and I had to switch it off. 
2. The TV is completely locked down so I couldn’t screen mirror my films from my iPad",9.0,Business trip,1,dirty,0
United Kingdom,Standard Room,1,September 2020,Solo traveler," Located right next to central station in the centre of town the location is great. Modern and clean with good sized beds, selection of pillows large en suite with shower over bath. 
Staff were also excellent and Covid procedures gave comfort. 
Would have given full marks but for two things
1.  The air conditioning was loud and I had to switch it off. 
2. The TV is completely locked down so I couldn’t screen mirror my films from my iPad",9.0,Business trip,1,bed,0
United Kingdom,Standard Room,1,September 2020,Solo traveler," Located right next to central station in the centre of town the location is great. Modern and clean with good sized beds, selection of pillows large en suite with shower over bath. 
Staff were also excellent and Covid procedures gave comfort. 
Would have given full marks but for two things
1.  The air conditioning was loud and I had to switch it off. 
2. The TV is completely locked down so I couldn’t screen mirror my films from my iPad",9.0,Business trip,1,bathroom,0
United Kingdom,Standard Room,1,September 2020,Solo traveler," Located right next to central station in the centre of town the location is great. Modern and clean with good sized beds, selection of pillows large en suite with shower over bath. 
Staff were also excellent and Covid procedures gave comfort. 
Would have given full marks but for two things
1.  The air conditioning was loud and I had to switch it off. 
2. The TV is completely locked down so I couldn’t screen mirror my films from my iPad",9.0,Business trip,1,staff,0
United Kingdom,Standard Room,1,September 2020,Solo traveler," Located right next to central station in the centre of town the location is great. Modern and clean with good sized beds, selection of pillows large en suite with shower over bath. 
Staff were also excellent and Covid procedures gave comfort. 
Would have given full marks but for two things
1.  The air conditioning was loud and I had to switch it off. 
2. The TV is completely locked down so I couldn’t screen mirror my films from my iPad",9.0,Business trip,1,covid,0
United Kingdom,Standard Room,1,September 2020,Solo traveler," Located right next to central station in the centre of town the location is great. Modern and clean with good sized beds, selection of pillows large en suite with shower over bath. 
Staff were also excellent and Covid procedures gave comfort. 
Would have given full marks but for two things
1.  The air conditioning was loud and I had to switch it off. 
2. The TV is completely locked down so I couldn’t screen mirror my films from my iPad",9.0,Business trip,1,temperature,0
United Kingdom,Standard Room,1,September 2020,Solo traveler," Located right next to central station in the centre of town the location is great. Modern and clean with good sized beds, selection of pillows large en suite with shower over bath. 
Staff were also excellent and Covid procedures gave comfort. 
Would have given full marks but for two things
1.  The air conditioning was loud and I had to switch it off. 
2. The TV is completely locked down so I couldn’t screen mirror my films from my iPad",9.0,Business trip,1,noisiness,0
United Kingdom,Standard Room,1,September 2020,Solo traveler," Located right next to central station in the centre of town the location is great. Modern and clean with good sized beds, selection of pillows large en suite with shower over bath. 
Staff were also excellent and Covid procedures gave comfort. 
Would have given full marks but for two things
1.  The air conditioning was loud and I had to switch it off. 
2. The TV is completely locked down so I couldn’t screen mirror my films from my iPad",9.0,Business trip,1,tv,0
Germany,Premium Room,1,September 2020,Solo traveler, Nice design comfortable bed friendly staff,8.0,Very Good,1,comfort,0
Germany,Premium Room,1,September 2020,Solo traveler, Nice design comfortable bed friendly staff,8.0,Very Good,1,bed,0
Germany,Premium Room,1,September 2020,Solo traveler, Nice design comfortable bed friendly staff,8.0,Very Good,1,staff,1
United Kingdom,Standard Room,1,August 2020,Couple, Comfortable bed great room,8.0,Very Good,1,comfort,1
United Kingdom,Standard Room,1,August 2020,Couple, Comfortable bed great room,8.0,Very Good,1,bed,0
United Kingdom,Standard Room,1,September 2020,Couple, Very professional staff. Service was second to none. Especially breakfast staff who were very attentive.  Breakfast was very delicious and great covid 19 measures put in place. Cant wait to be back.,10.0,Fantastic,1,staff,0
United Kingdom,Standard Room,1,September 2020,Couple, Very professional staff. Service was second to none. Especially breakfast staff who were very attentive.  Breakfast was very delicious and great covid 19 measures put in place. Cant wait to be back.,10.0,Fantastic,1,food/drink,0
United Kingdom,Standard Room,1,September 2020,Couple, Very professional staff. Service was second to none. Especially breakfast staff who were very attentive.  Breakfast was very delicious and great covid 19 measures put in place. Cant wait to be back.,10.0,Fantastic,1,covid,0
United Kingdom,Standard Room,1,September 2020,Couple, Very professional staff. Service was second to none. Especially breakfast staff who were very attentive.  Breakfast was very delicious and great covid 19 measures put in place. Cant wait to be back.,10.0,Fantastic,1,location,0
United Kingdom,Standard Room,2,September 2020,Couple," Good, spacious and well-equipped bedroom. Hotel was very conveniently located in Central Glasgow.",10.0,two days in Glasgow,1,bathroom,0
United Kingdom,Standard Room,2,September 2020,Couple," Good, spacious and well-equipped bedroom. Hotel was very conveniently located in Central Glasgow.",10.0,two days in Glasgow,1,location,0
United Kingdom,Superior Room,1,September 2020,Family," Excellent location and great room, breakfast & service",10.0,Perfect,1,location,0
United Kingdom,Superior Room,1,September 2020,Family," Excellent location and great room, breakfast & service",10.0,Perfect,1,food/drink,0
United Kingdom,Superior Room,1,September 2020,Family," Excellent location and great room, breakfast & service",10.0,Perfect,1,staff,0
United Kingdom,Superior Room,2,September 2020,Family," The rooms were clean with big comfortable beds. The staff were really friendly and helpful, particularly Lee at checkin. The food was lovely. The location was perfect. We were there to drop our child off to University, so it was very handy for that.",10.0,Perfect. I look forward to returning.,1,dirty,0
United Kingdom,Superior Room,2,September 2020,Family," The rooms were clean with big comfortable beds. The staff were really friendly and helpful, particularly Lee at checkin. The food was lovely. The location was perfect. We were there to drop our child off to University, so it was very handy for that.",10.0,Perfect. I look forward to returning.,1,comfort,0
United Kingdom,Superior Room,2,September 2020,Family," The rooms were clean with big comfortable beds. The staff were really friendly and helpful, particularly Lee at checkin. The food was lovely. The location was perfect. We were there to drop our child off to University, so it was very handy for that.",10.0,Perfect. I look forward to returning.,1,bed,0
United Kingdom,Superior Room,2,September 2020,Family," The rooms were clean with big comfortable beds. The staff were really friendly and helpful, particularly Lee at checkin. The food was lovely. The location was perfect. We were there to drop our child off to University, so it was very handy for that.",10.0,Perfect. I look forward to returning.,1,staff,0
United Kingdom,Superior Room,2,September 2020,Family," The rooms were clean with big comfortable beds. The staff were really friendly and helpful, particularly Lee at checkin. The food was lovely. The location was perfect. We were there to drop our child off to University, so it was very handy for that.",10.0,Perfect. I look forward to returning.,1,food/drink,0
United Kingdom,Superior Room,2,September 2020,Family," The rooms were clean with big comfortable beds. The staff were really friendly and helpful, particularly Lee at checkin. The food was lovely. The location was perfect. We were there to drop our child off to University, so it was very handy for that.",10.0,Perfect. I look forward to returning.,1,location,0
United Kingdom,Standard Room,1,September 2020,Couple, Was a lovely welcome and hotel is class and central for everything,10.0,Exceptional,1,location,0
United Kingdom,Superior Room,2,September 2020,Couple, Was absolutely amazing!! Will never go anywhere else now staff went absolve and beyond absolutely amazing!!,10.0,Exceptional,1,staff,0
Ireland,Standard Room,2,September 2020,Couple, The room was very neat and I like the window side room. The bed was very comfortable and I like the fact that we had sanitizer in the room very COVID 19 compliant,8.0,"our stay was nice for a short trip, Lee at the reception made it even better with his compliments.",1,bed,0
Ireland,Standard Room,2,September 2020,Couple, The room was very neat and I like the window side room. The bed was very comfortable and I like the fact that we had sanitizer in the room very COVID 19 compliant,8.0,"our stay was nice for a short trip, Lee at the reception made it even better with his compliments.",1,comfort,0
Ireland,Standard Room,2,September 2020,Couple, The room was very neat and I like the window side room. The bed was very comfortable and I like the fact that we had sanitizer in the room very COVID 19 compliant,8.0,"our stay was nice for a short trip, Lee at the reception made it even better with his compliments.",1,covid,0
